,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,SL,TP,Duration
0,50,405,430,122.91,122.55,-17.95,-0.0,2017-01-10 11:55:00,2017-01-10 14:00:00,,123.62802440114262,0 days 02:05:00
1,50,470,477,122.81,122.4,-20.27,-0.0,2017-01-11 10:50:00,2017-01-11 11:25:00,,123.59094728943678,0 days 00:35:00
2,50,518,531,122.71,122.9,9.5,0.0,2017-01-11 14:50:00,2017-01-11 15:55:00,122.25732111813224,123.64535776373552,0 days 01:05:00
3,50,604,609,122.58,122.69,5.5,0.0,2017-01-12 15:30:00,2017-01-12 15:55:00,122.25598255033174,123.1980348993365,0 days 00:25:00
4,50,612,687,123.04,123.14,5.0,0.0,2017-01-13 09:40:00,2017-01-13 15:55:00,122.61462026875358,123.89075946249285,0 days 06:15:00
5,50,846,861,123.42,123.09,-16.68,-0.0,2017-01-19 09:40:00,2017-01-19 10:55:00,,124.1173146235769,0 days 01:15:00
6,50,869,898,123.25,123.08,-8.5,-0.0,2017-01-19 11:35:00,2017-01-19 14:00:00,122.87872523186384,124.02254953627234,0 days 02:25:00
7,50,950,954,123.39,123.03,-17.79,-0.0,2017-01-20 11:50:00,2017-01-20 12:10:00,,124.10163569140873,0 days 00:20:00
8,50,1002,1008,123.48,123.05,-21.42,-0.0,2017-01-23 09:40:00,2017-01-23 10:10:00,,124.36683954554037,0 days 00:30:00
9,50,1047,1077,123.15,123.34,9.5,0.0,2017-01-23 13:25:00,2017-01-23 15:55:00,122.8193890414989,123.8412219170022,0 days 02:30:00
10,50,1080,1155,123.65,124.23,29.0,0.0,2017-01-24 09:40:00,2017-01-24 15:55:00,123.26611493931789,124.41777012136424,0 days 06:15:00
11,50,1158,1233,124.99,125.42,21.5,0.0,2017-01-25 09:40:00,2017-01-25 15:55:00,124.47380520306139,126.02238959387721,0 days 06:15:00
12,50,1236,1311,125.68,125.59,-4.5,-0.0,2017-01-26 09:40:00,2017-01-26 15:55:00,125.30293255365534,126.43413489268934,0 days 06:15:00
13,50,1314,1322,125.72,125.48,-12.0,-0.0,2017-01-27 09:40:00,2017-01-27 10:20:00,125.3005348666722,126.49893026665562,0 days 00:40:00
14,50,1327,1385,125.7,125.64,-3.0,-0.0,2017-01-27 10:45:00,2017-01-27 15:35:00,125.27391987185031,126.55216025629939,0 days 04:50:00
15,50,1548,1559,125.58,125.0,-29.02,-0.0,2017-02-01 09:40:00,2017-02-01 10:35:00,,126.74065517525115,0 days 00:55:00
16,50,1565,1623,125.07,125.45,19.0,0.0,2017-02-01 11:05:00,2017-02-01 15:55:00,124.5258816734952,126.18823665300958,0 days 04:50:00
17,50,1630,1657,125.56,125.14,-21.0,-0.0,2017-02-02 10:00:00,2017-02-02 12:15:00,124.90005428398813,126.87989143202375,0 days 02:15:00
18,50,1860,1935,126.2,126.18,-1.0,-0.0,2017-02-07 09:40:00,2017-02-07 15:55:00,125.8455783150368,126.87884336992639,0 days 06:15:00
19,50,2108,2169,127.34,127.36,1.0,0.0,2017-02-10 10:50:00,2017-02-10 15:55:00,126.98383782683204,128.05232434633592,0 days 05:05:00
20,-50,2263,2279,127.85,128.18,-16.5,-0.0,2017-02-14 10:45:00,2017-02-14 12:05:00,128.27067435533576,127.03865128932848,0 days 01:20:00
21,50,2484,2559,129.19,129.71,26.0,0.0,2017-02-17 09:40:00,2017-02-17 15:55:00,128.85042855472688,129.86914289054624,0 days 06:15:00
22,50,2648,2715,130.41,130.54,6.5,0.0,2017-02-22 10:20:00,2017-02-22 15:55:00,130.05936673807622,131.14126652384752,0 days 05:35:00
23,-50,2984,3027,129.98,129.99,-0.5,-0.0,2017-02-28 12:20:00,2017-02-28 15:55:00,130.24827239187974,129.4434552162405,0 days 03:35:00
24,50,3424,3481,130.94,130.74,-10.0,-0.0,2017-03-08 10:00:00,2017-03-08 14:45:00,130.48155454343768,131.85689091312463,0 days 04:45:00
25,50,3517,3545,130.87,130.65,-11.0,-0.0,2017-03-09 11:15:00,2017-03-09 13:35:00,130.46529887328396,131.64940225343213,0 days 02:20:00
26,50,3582,3614,131.56,131.01,-27.51,-0.0,2017-03-10 10:10:00,2017-03-10 12:50:00,,132.6004293836393,0 days 02:40:00
27,50,3654,3729,131.47,131.55,4.0,0.0,2017-03-13 09:40:00,2017-03-13 15:55:00,131.166050544399,132.047898911202,0 days 06:15:00
28,50,4008,4037,131.9,131.72,-8.96,-0.0,2017-03-17 13:10:00,2017-03-17 15:35:00,,132.2584907781867,0 days 02:25:00
29,50,4054,4079,132.07,131.84,-11.5,-0.0,2017-03-20 10:30:00,2017-03-20 12:35:00,131.73631329129142,132.70737341741716,0 days 02:05:00
30,50,4224,4275,130.62,130.68,3.0,0.0,2017-03-22 11:40:00,2017-03-22 15:55:00,129.94452429180294,132.00095141639412,0 days 04:15:00
31,50,4339,4345,130.75,130.48,-13.5,-0.0,2017-03-23 14:45:00,2017-03-23 15:15:00,130.33924324560454,131.57151350879093,0 days 00:30:00
32,50,4358,4408,131.23,130.73,-25.0,-0.0,2017-03-24 09:50:00,2017-03-24 14:00:00,130.53331348523145,132.65337302953714,0 days 04:10:00
33,50,4464,4509,130.7,130.93,11.5,0.0,2017-03-27 12:10:00,2017-03-27 15:55:00,130.1638170942759,131.77236581144814,0 days 03:45:00
34,50,4513,4514,130.99,130.56,-21.53,-0.0,2017-03-28 09:45:00,2017-03-28 09:50:00,,131.88107145106284,0 days 00:05:00
35,50,4541,4587,131.4,131.74,17.0,0.0,2017-03-28 12:05:00,2017-03-28 15:55:00,130.96231031086197,132.24537937827603,0 days 03:50:00
36,50,4594,4665,131.98,132.2,11.0,0.0,2017-03-29 10:00:00,2017-03-29 15:55:00,131.48015352188975,132.91969295622053,0 days 05:55:00
37,50,4669,4709,132.33,132.24,-4.5,-0.0,2017-03-30 09:45:00,2017-03-30 13:05:00,131.94918641136118,133.09162717727767,0 days 03:20:00
38,50,4752,4803,132.49,132.43,-3.0,-0.0,2017-03-31 10:10:00,2017-03-31 14:25:00,132.1132694540692,133.27346109186158,0 days 04:15:00
39,50,4817,4821,132.67,132.53,-7.0,-0.0,2017-03-31 15:35:00,2017-03-31 15:55:00,132.39086485558067,133.22827028883862,0 days 00:20:00
40,50,4939,4977,132.29,132.48,9.5,0.0,2017-04-04 12:45:00,2017-04-04 15:55:00,131.95187993950913,132.99624012098178,0 days 03:10:00
41,-50,5294,5367,131.3,131.28,1.0,0.0,2017-04-11 09:50:00,2017-04-11 15:55:00,131.9613294415361,129.97734111692785,0 days 06:05:00
42,-50,5397,5429,130.82,131.2,-19.0,-0.0,2017-04-12 11:55:00,2017-04-12 14:35:00,131.33250527095515,129.79498945808967,0 days 02:40:00
43,50,5682,5736,132.03,131.78,-12.5,-0.0,2017-04-19 09:40:00,2017-04-19 14:10:00,131.44737147221537,133.1652570555693,0 days 04:30:00
44,50,5765,5835,132.03,132.79,38.0,0.01,2017-04-20 10:05:00,2017-04-20 15:55:00,131.43771588640536,133.2145682271893,0 days 05:50:00
45,50,5863,5879,132.71,132.52,-9.5,-0.0,2017-04-21 11:45:00,2017-04-21 13:05:00,132.33670006027532,133.45659987944939,0 days 01:20:00
46,50,5916,5991,134.01,134.13,6.0,0.0,2017-04-24 09:40:00,2017-04-24 15:55:00,133.22028537491906,135.61942925016191,0 days 06:15:00
47,50,6006,6069,134.86,135.14,14.0,0.0,2017-04-25 10:40:00,2017-04-25 15:55:00,134.50584939038038,135.5683012192393,0 days 05:15:00
48,50,6152,6225,135.37,135.65,14.0,0.0,2017-04-27 09:50:00,2017-04-27 15:55:00,134.8783025761517,136.35339484769662,0 days 06:05:00
49,50,6228,6292,136.2,135.86,-17.0,-0.0,2017-04-28 09:40:00,2017-04-28 15:00:00,135.6733378700155,137.19332425996902,0 days 05:20:00
50,50,6296,6303,135.97,136.01,2.0,0.0,2017-04-28 15:20:00,2017-04-28 15:55:00,135.73753522634186,136.46492954731625,0 days 00:35:00
51,50,6306,6376,136.52,137.37,42.47,0.01,2017-05-01 09:40:00,2017-05-01 15:30:00,136.08033187410513,137.36933625178972,0 days 05:50:00
52,50,6377,6381,137.36,137.23,-6.5,-0.0,2017-05-01 15:35:00,2017-05-01 15:55:00,137.13949945148312,137.8010010970338,0 days 00:20:00
53,50,6384,6449,137.29,137.22,-3.5,-0.0,2017-05-02 09:40:00,2017-05-02 15:05:00,136.94972661456148,137.94054677087703,0 days 05:25:00
54,50,6552,6573,137.04,136.73,-15.5,-0.0,2017-05-04 10:40:00,2017-05-04 12:25:00,136.5699395185222,138.01012096295563,0 days 01:45:00
55,50,6586,6615,137.01,137.07,3.0,0.0,2017-05-04 13:30:00,2017-05-04 15:55:00,136.6781654785389,137.6736690429222,0 days 02:25:00
56,50,6774,6849,138.18,138.24,3.0,0.0,2017-05-09 09:40:00,2017-05-09 15:55:00,137.83437741398728,138.87124517202545,0 days 06:15:00
57,50,6886,6927,138.26,138.34,4.0,0.0,2017-05-10 12:30:00,2017-05-10 15:55:00,137.97010655333736,138.83978689332525,0 days 03:25:00
58,50,6977,7005,138.02,138.28,13.0,0.0,2017-05-11 13:35:00,2017-05-11 15:55:00,137.7170680898794,138.59586382024116,0 days 02:20:00
59,50,7008,7083,138.41,138.53,6.0,0.0,2017-05-12 09:40:00,2017-05-12 15:55:00,138.0394787045682,139.15104259086357,0 days 06:15:00
60,50,7104,7119,139.06,138.72,-17.03,-0.0,2017-05-15 11:10:00,2017-05-15 12:25:00,,139.74133753194997,0 days 01:15:00
61,50,7130,7161,138.89,139.02,6.5,0.0,2017-05-15 13:20:00,2017-05-15 15:55:00,138.67116488060623,139.29767023878753,0 days 02:35:00
62,50,7164,7239,139.19,139.56,18.5,0.0,2017-05-16 09:40:00,2017-05-16 15:55:00,138.86897517617624,139.8620496476475,0 days 06:15:00
63,50,7794,7838,141.12,140.99,-6.5,-0.0,2017-05-26 10:10:00,2017-05-26 13:50:00,140.67404765785105,142.01190468429792,0 days 03:40:00
64,50,7846,7863,141.1,141.19,4.5,0.0,2017-05-26 14:30:00,2017-05-26 15:55:00,140.93568894749322,141.4586221050136,0 days 01:25:00
65,50,7866,7941,141.4,141.39,-0.5,-0.0,2017-05-30 09:40:00,2017-05-30 15:55:00,141.0785512515245,141.982897496951,0 days 06:15:00
66,50,7944,7946,141.69,141.31,-19.19,-0.0,2017-05-31 09:40:00,2017-05-31 09:50:00,,142.45750989329093,0 days 00:10:00
67,50,8100,8146,142.23,143.24,50.52,0.01,2017-06-02 09:40:00,2017-06-02 13:30:00,141.739774379792,143.240451240416,0 days 03:50:00
68,50,8147,8175,143.25,143.41,8.0,0.0,2017-06-02 13:35:00,2017-06-02 15:55:00,142.97004229234335,143.8099154153133,0 days 02:20:00
69,50,8430,8461,143.4,143.21,-9.5,-0.0,2017-06-08 11:10:00,2017-06-08 13:45:00,142.74560860723315,144.67878278553366,0 days 02:35:00
70,-50,8516,8524,143.16,142.1,52.99,0.01,2017-06-09 11:50:00,2017-06-09 12:30:00,143.6748839053396,142.1002321893208,0 days 00:40:00
71,-50,8525,8541,142.09,140.63,72.92,0.01,2017-06-09 12:35:00,2017-06-09 13:55:00,142.81917556010697,140.63164887978607,0 days 01:20:00
72,-50,8542,8565,140.38,139.82,28.0,0.0,2017-06-09 14:00:00,2017-06-09 15:55:00,141.5237184749808,138.0925630500384,0 days 01:55:00
73,-50,8568,8643,138.0,139.13,-56.5,-0.01,2017-06-12 09:40:00,2017-06-12 15:55:00,140.36097044296335,133.30805911407327,0 days 06:15:00
74,-50,8784,8799,140.08,139.81,13.5,0.0,2017-06-14 14:40:00,2017-06-14 15:55:00,140.8669070231986,138.50618595360285,0 days 01:15:00
75,-50,8806,8860,138.11,139.0,-44.5,-0.01,2017-06-15 10:00:00,2017-06-15 14:30:00,139.59626576209314,135.16746847581373,0 days 04:30:00
76,50,9126,9189,140.06,140.76,35.0,0.0,2017-06-21 10:40:00,2017-06-21 15:55:00,139.35819851882118,141.43360296235767,0 days 05:15:00
77,50,9204,9267,140.66,140.73,3.5,0.0,2017-06-22 10:40:00,2017-06-22 15:55:00,140.09934680233494,141.78130639533012,0 days 05:15:00
78,50,9297,9345,141.01,141.22,10.5,0.0,2017-06-23 11:55:00,2017-06-23 15:55:00,140.63496988230997,141.76006023538002,0 days 04:00:00
79,-50,9504,9517,138.16,139.19,-51.71,-0.01,2017-06-28 09:40:00,2017-06-28 10:45:00,,136.09179576169728,0 days 01:05:00
80,-50,9585,9626,138.52,136.66,92.78,0.01,2017-06-29 09:55:00,2017-06-29 13:20:00,139.4627959554184,136.66440808916323,0 days 03:25:00
81,-50,9629,9657,136.82,137.7,-44.0,-0.01,2017-06-29 13:35:00,2017-06-29 15:55:00,137.9575735809707,134.57485283805866,0 days 02:20:00
82,-50,9747,9810,137.47,136.03,72.0,0.01,2017-07-03 10:25:00,2017-07-03 15:55:00,138.42081925880655,135.53836148238693,0 days 05:30:00
83,50,10131,10145,138.84,138.28,-27.86,-0.0,2017-07-11 10:10:00,2017-07-11 11:20:00,,139.9845561522508,0 days 01:10:00
84,50,10179,10200,138.96,139.01,2.5,0.0,2017-07-11 14:10:00,2017-07-11 15:55:00,138.477746722189,139.924506555622,0 days 01:45:00
85,50,10218,10278,140.17,140.74,28.5,0.0,2017-07-12 10:55:00,2017-07-12 15:55:00,139.48929704243926,141.53140591512144,0 days 05:00:00
86,50,10360,10434,141.58,142.16,29.0,0.0,2017-07-14 09:45:00,2017-07-14 15:55:00,140.94541104845138,142.84917790309729,0 days 06:10:00
87,50,10828,10898,144.05,144.77,36.2,0.01,2017-07-24 09:45:00,2017-07-24 15:35:00,143.6880296120584,144.77394077588326,0 days 05:50:00
88,-50,11225,11292,143.57,143.18,19.5,0.0,2017-07-31 10:20:00,2017-07-31 15:55:00,144.36096654076138,141.95806691847724,0 days 05:35:00
89,-50,11363,11370,143.32,143.38,-3.0,-0.0,2017-08-01 15:20:00,2017-08-01 15:55:00,143.61075619883965,142.73848760232067,0 days 00:35:00
90,-50,11396,11423,142.99,143.78,-39.5,-0.01,2017-08-02 11:35:00,2017-08-02 13:50:00,143.9919139698914,140.9861720602172,0 days 02:15:00
91,-50,11534,11543,143.27,143.72,-22.5,-0.0,2017-08-04 10:05:00,2017-08-04 10:50:00,144.00489082063015,141.7402183587397,0 days 00:45:00
92,-50,11566,11604,143.39,143.57,-9.0,-0.0,2017-08-04 12:45:00,2017-08-04 15:55:00,143.86576050131833,142.46847899736335,0 days 03:10:00
93,50,11712,11750,145.19,144.73,-23.15,-0.0,2017-08-08 11:55:00,2017-08-08 15:05:00,,146.14598477668596,0 days 03:10:00
94,50,11950,11994,142.0,142.14,7.0,0.0,2017-08-11 12:15:00,2017-08-11 15:55:00,141.28919553774872,143.42160892450255,0 days 03:40:00
95,50,12034,12072,143.76,144.06,15.0,0.0,2017-08-14 12:45:00,2017-08-14 15:55:00,143.349536629992,144.550926740016,0 days 03:10:00
96,-50,12721,12765,142.01,142.3,-14.5,-0.0,2017-08-25 11:30:00,2017-08-25 15:10:00,142.7949467022727,140.44010659545455,0 days 03:40:00
97,50,13115,13149,146.05,145.97,-4.0,-0.0,2017-09-01 11:50:00,2017-09-01 14:40:00,145.57753657675482,146.9949268464904,0 days 02:50:00
98,50,13157,13164,146.13,146.12,-0.5,-0.0,2017-09-01 15:20:00,2017-09-01 15:55:00,145.8695622017356,146.62087559652883,0 days 00:35:00
99,-50,13401,13470,145.15,144.15,49.99,0.01,2017-09-08 09:40:00,2017-09-08 15:25:00,145.64988683113074,144.15022633773853,0 days 05:45:00
100,-50,13621,13632,145.71,146.08,-18.5,-0.0,2017-09-12 15:00:00,2017-09-12 15:55:00,146.21717719802172,144.6956456039566,0 days 00:55:00
101,-50,13637,13639,145.75,146.18,-21.5,-0.0,2017-09-13 09:50:00,2017-09-13 10:00:00,146.35759775605817,144.53480448788366,0 days 00:10:00
102,-50,13713,13729,145.51,146.1,-29.5,-0.0,2017-09-14 09:40:00,2017-09-14 11:00:00,,144.3599216567779,0 days 01:20:00
103,-50,13742,13788,146.0,145.56,22.0,0.0,2017-09-14 12:05:00,2017-09-14 15:55:00,146.34279369677756,145.31441260644488,0 days 03:50:00
104,-50,13848,13860,145.91,146.1,-9.5,-0.0,2017-09-15 14:25:00,2017-09-15 15:25:00,146.18709924708438,145.3858015058312,0 days 01:00:00
105,-50,13915,13925,146.01,145.5,25.41,0.0,2017-09-18 13:30:00,2017-09-18 14:20:00,146.27912502651543,145.50174994696917,0 days 00:50:00
106,-50,13926,13944,145.51,145.65,-7.0,-0.0,2017-09-18 14:25:00,2017-09-18 15:55:00,145.88496978265417,144.76006043469164,0 days 01:30:00
107,-50,14029,14077,145.65,144.76,44.34,0.01,2017-09-20 10:00:00,2017-09-20 14:00:00,146.0784212483492,144.76315750330156,0 days 04:00:00
108,-50,14078,14099,144.97,145.47,-24.9,-0.0,2017-09-20 14:05:00,2017-09-20 15:50:00,,143.97402000071574,0 days 01:45:00
109,-50,14194,14255,144.29,144.35,-3.0,-0.0,2017-09-22 10:45:00,2017-09-22 15:50:00,144.8977557573583,143.07448848528335,0 days 05:05:00
110,-50,14259,14318,143.34,142.12,60.9,0.01,2017-09-25 09:40:00,2017-09-25 14:35:00,143.96398729308768,142.12202541382462,0 days 04:55:00
111,-50,14319,14332,142.2,142.75,-27.34,-0.0,2017-09-25 14:40:00,2017-09-25 15:45:00,,141.13640436203926,0 days 01:05:00
112,-50,14512,14543,144.17,144.4,-11.5,-0.0,2017-09-28 11:15:00,2017-09-28 13:50:00,144.78561044995922,142.93877910008152,0 days 02:35:00
113,-50,14559,14568,144.25,144.33,-4.0,-0.0,2017-09-28 15:10:00,2017-09-28 15:55:00,144.56713781749505,143.6157243650099,0 days 00:45:00
114,-50,14679,14724,145.17,145.54,-18.5,-0.0,2017-10-02 12:10:00,2017-10-02 15:55:00,145.80173148716634,143.93653702566735,0 days 03:45:00
115,-50,14807,14827,145.57,146.04,-23.5,-0.0,2017-10-04 09:50:00,2017-10-04 11:30:00,146.05032245529821,144.60935508940355,0 days 01:40:00
116,50,15523,15582,148.8,149.02,11.0,0.0,2017-10-17 11:00:00,2017-10-17 15:55:00,148.43860285074413,149.4927942985117,0 days 04:55:00
117,-50,15663,15730,147.92,148.18,-13.0,-0.0,2017-10-19 09:40:00,2017-10-19 15:15:00,148.48250831410834,146.7649833717833,0 days 05:35:00
118,-50,15821,15888,148.69,147.84,42.45,0.01,2017-10-23 09:50:00,2017-10-23 15:25:00,149.11451524049207,147.84096951901586,0 days 05:35:00
119,-50,15889,15894,147.85,147.64,10.5,0.0,2017-10-23 15:30:00,2017-10-23 15:55:00,148.2545719064183,147.0108561871634,0 days 00:25:00
120,-50,15897,15925,147.7,148.11,-20.5,-0.0,2017-10-24 09:40:00,2017-10-24 12:00:00,148.35330173895093,146.42339652209816,0 days 02:20:00
121,-50,15995,16031,146.5,147.39,-44.7,-0.01,2017-10-25 11:20:00,2017-10-25 14:20:00,,144.68186279945638,0 days 03:00:00
122,-50,16062,16065,147.14,147.57,-21.5,-0.0,2017-10-26 10:25:00,2017-10-26 10:40:00,147.84299667085608,145.7340066582878,0 days 00:15:00
123,-50,16100,16112,147.21,147.34,-6.5,-0.0,2017-10-26 13:35:00,2017-10-26 14:35:00,147.590588946309,146.41882210738197,0 days 01:00:00
124,50,16131,16206,149.23,151.33,105.0,0.01,2017-10-27 09:40:00,2017-10-27 15:55:00,148.0474468652419,151.5351062695162,0 days 06:15:00
125,50,16209,16240,151.61,151.04,-28.35,-0.0,2017-10-30 09:40:00,2017-10-30 12:15:00,,152.74413140548688,0 days 02:35:00
126,50,16270,16276,151.54,151.35,-9.5,-0.0,2017-10-30 14:45:00,2017-10-30 15:15:00,151.06818413215285,152.4536317356943,0 days 00:30:00
